board,route,appVersion,url,imei,nfc,airmode,printer,dialer,terminal,status
"","","1.0.32","http://10.131.214.135:8080","863717050703664","on","off","STS_NO_JWT",,"T155567","VehicleStatusActive"
"","","1.0.32","http://10.131.214.124:8080","863717050733877","on","off","STS_NO_JWT",,"T157443","VehicleStatusActive"
"","","1.0.32","http://10.131.214.118:8080","863717050736391","on","off","STS_NO_JWT",,"T156989","VehicleStatusInRepair"
"","","1.0.32","http://10.131.239.160:8080","863717050727838","on","off","STS_NO_JWT",,"T155769","VehicleStatusActive"
"","","1.0.32","http://10.131.239.129:8080","863717050731095","on","off","STS_NO_JWT",,"T153690","VehicleStatusActive"
"","","1.0.32","http://10.131.239.108:8080","863717050727473","on","off","STS_NO_JWT",,"T155406","VehicleStatusActive"
"","","1.0.32","http://10.131.239.163:8080","863717050704001","on","off","STS_NO_JWT",,"T155656","VehicleStatusActive"
"","","1.0.32","http://10.131.240.14:8080","863717050704985","on","off","STS_NO_JWT",,"T155496","Unknown"
"","","1.0.32","http://10.131.240.32:8080","863717050732739","on","off","STS_NO_JWT",,"T155632","VehicleStatusUnknown"
"","","1.0.32","http://10.131.240.196:8080","863717050700728","on","off","STS_NO_JWT",,"T128295","VehicleStatusInRepair"
"","","1.0.32","http://10.131.240.117:8080","863717050735930","on","off","STS_NO_JWT",,"","Unknown"
"594EW02","","0.0.27","http://10.131.213.84:8080","863717050729875","off",,,,"","Unknown"
"(9001) 901CO02","100","1.0.32","http://10.131.240.114:8080","863717050704324","on","off","STS_NORMAL",,"T128242","VehicleStatusInRepair"
"(9002) 904CO02","100","1.0.32","http://10.131.240.76:8080","863717050719199","on","off","STS_NORMAL",,"T128308","VehicleStatusActive"
"(9003) 905CO02","100","1.0.32","http://10.131.240.154:8080","863717050737274","on","off","STS_NORMAL",,"T128305","VehicleStatusActive"
"(9004) 907CO02","100","1.0.32","http://10.131.240.129:8080","863717050729594","on","off","STS_NORMAL",,"T128304","VehicleStatusActive"
"(9005) 910CO02","100","1.0.32","http://10.131.239.151:8080","863717050720072","on","off","STS_NORMAL",,"T128317","VehicleStatusActive"
"(9007) 916CO02","100","1.0.32","http://10.131.240.95:8080","863717050725816","on","off","STS_NORMAL",,"T128310","VehicleStatusActive"
"(9008) 918CO02","100","1.0.32","http://10.131.240.94:8080","863717050727598","on","off","STS_NORMAL",,"T128524","VehicleStatusActive"
"(9009) 920CO02","100","1.0.32","http://10.131.240.152:8080","863717050730394","on","off","STS_NORMAL",,"T128523","VehicleStatusActive"
"(9010) 921CO02","100","1.0.32","http://10.131.240.131:8080","863717050702740","on","off","STS_NORMAL",,"T012864","VehicleStatusActive"
"(9011) 922CO02","100","1.0.32","http://10.131.240.69:8080","863717050715130","on","off","STS_NORMAL",,"T128515","VehicleStatusActive"
"(9012) 923CO02","100","1.0.32","http://10.131.240.132:8080","863717050700389","on","off","STS_NORMAL",,"T128512","VehicleStatusIdle"
"(9013) 924CO02","100","1.0.32","http://10.131.205.241:8080","863717050731699","on","off","STS_NORMAL",,"T128511","VehicleStatusActive"
"(9015) 927CO02","100","1.0.32","http://10.131.240.200:8080","863717050719397","on","off","STS_NORMAL",,"T128323","VehicleStatusActive"
"(9016) 929CO02","100","1.0.32","http://10.131.240.151:8080","863717050718654","on","off","STS_NORMAL",,"T128321","VehicleStatusActive"
"(9017) 931CO02","100","1.0.32","http://10.131.240.182:8080","863717050728950","on","off","STS_NORMAL",,"T128318","VehicleStatusActive"
"(9018) 935CO02","100","1.0.32","http://10.131.239.176:8080","863717050732275","on","off","STS_NORMAL",,"T128233","VehicleStatusActive"
"(9019) 936CO02","100","1.0.32","http://10.131.240.67:8080","863717050720718","on","off","STS_NORMAL",,"T128506","VehicleStatusActive"
"(9041) 965CO02","100","1.0.32","http://10.131.240.90:8080","863717050724637","on","off","STS_NORMAL",,"T050910","VehicleStatusActive"
"(9042) 966CO02","100","1.0.32","http://10.131.240.10:8080","863717050706444","on","off","STS_NORMAL",,"T050621","VehicleStatusActive"
"(9070) 480CS02","100","1.0.32","http://10.131.240.66:8080","863717050714539","on","off","STS_NORMAL",,"T128218","VehicleStatusUnknown"
"(9073) 869CS02","100","1.0.32","http://10.131.240.100:8080","863717050721831","on","off","STS_NORMAL",,"T128299","VehicleStatusActive"
"(9074) 419CS02","100","1.0.32","http://10.131.240.217:8080","863717050722730","on","off","STS_NORMAL",,"T128255","VehicleStatusInRepair"
"(9076) 427CS02","100","1.0.32","http://10.131.240.39:8080","863717050724736","on","off","STS_NORMAL",,"T128248","VehicleStatusActive"
"(9077) 439CS02","100","1.0.32","http://10.131.240.126:8080","863717050722755","on","off","STS_NORMAL",,"T128221","VehicleStatusActive"
"(9078) 879CS02","100","1.0.32","http://10.131.240.155:8080","863717050727671","on","off","STS_NORMAL",,"T128238","VehicleStatusActive"
"(9079) 872CS02","100","1.0.32","http://10.131.240.99:8080","863717050729214","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9080) 824CS02","100","1.0.32","http://10.131.240.189:8080","863717050716336","on","off","STS_NORMAL",,"T128273","VehicleStatusActive"
"(9081) 438CS02","100","1.0.32","http://10.131.240.83:8080","863717050736995","on","off","UNKNOWN",,"T128224","VehicleStatusActive"
"(9083) 398CS02","100","1.0.32","http://10.131.240.72:8080","863717050718811","on","off","STS_NORMAL",,"T128413","VehicleStatusActive"
"(9087) 368CS02","100","1.0.32","http://10.131.240.97:8080","863717050725519","on","off","STS_NORMAL",,"T128297","VehicleStatusInRepair"
"(9088) 355CS02","100","1.0.32","http://10.131.240.64:8080","863717050719496","on","off","UNKNOWN",,"T128228","VehicleStatusActive"
