board,route,appVersion,url,imei,nfc,airmode,printer,dialer,terminal,status
"","","1.0.32","http://10.131.239.100:8080","863717050722870","on","off","STS_NO_JWT",,"T154482","VehicleStatusActive"
"","","1.0.32","http://10.131.239.139:8080","863717050726475","on","off","STS_NO_JWT",,"T089511","VehicleStatusActive"
"","","1.0.32","http://10.131.239.229:8080","863717050724595","on","off","STS_NO_JWT",,"T089475","VehicleStatusActive"
"","","1.0.32","http://10.131.239.219:8080","863717050723696","on","off","STS_NO_JWT",,"T089472","VehicleStatusActive"
"","","1.0.32","http://10.131.239.118:8080","863717050733810","on","off","STS_NO_JWT",,"T155535","VehicleStatusInRepair"
"","","1.0.32","http://10.131.239.250:8080","863717050723357","on","off","STS_NO_JWT",,"T157441","VehicleStatusActive"
"","","1.0.32","http://10.131.239.102:8080","863717050736177","on","off","STS_NO_JWT",,"T155629","VehicleStatusInRepair"
"","","1.0.32","http://10.131.239.131:8080","863717050728836","on","off","STS_NO_JWT",,"T155707","VehicleStatusActive"
"","","1.0.32","http://10.131.240.32:8080","863717050732739","on","off","STS_NO_JWT",,"T155632","VehicleStatusActive"
"","","1.0.32","http://10.131.240.112:8080","863717050733794","on","off","STS_NO_JWT",,"T089442","VehicleStatusInRepair"
"","","1.0.32","http://10.131.240.61:8080","863717050737456","on","off","STS_NO_JWT",,"T155726","VehicleStatusInRepair"
"","","1.0.32","http://10.131.240.192:8080","863717050699755","on","off","STS_NO_JWT",,"T155399","VehicleStatusInRepair"
"","","1.0.32","http://10.131.240.199:8080","863717050701783","on","off","STS_NO_JWT",,"T157233","Unknown"
"","","1.0.32","http://10.131.240.138:8080","863717050716211","on","off","STS_NO_JWT",,"T155364","VehicleStatusActive"
"(9001) 901CO02","100","1.0.32","http://10.131.240.114:8080","863717050704324","on","off","STS_NORMAL",,"T128242","VehicleStatusActive"
"(9002) 904CO02","100","1.0.32","http://10.131.240.76:8080","863717050719199","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9003) 905CO02","100","1.0.32","http://10.131.240.154:8080","863717050737274","on","off","STS_NORMAL",,"T128305","VehicleStatusActive"
"(9004) 907CO02","100","1.0.32","http://10.131.240.129:8080","863717050729594","on","off","STS_NORMAL",,"T128304","VehicleStatusActive"
"(9005) 910CO02","100","1.0.32","http://10.131.239.151:8080","863717050720072","on","off","STS_NORMAL",,"T128317","VehicleStatusActive"
"(9006) 912CO02","100","1.0.32","http://10.131.240.43:8080","863717050704704","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9008) 918CO02","100","1.0.32","http://10.131.240.94:8080","863717050727598","on","off","STS_NORMAL",,"T128524","VehicleStatusActive"
"(9009) 920CO02","100","1.0.32","http://10.131.240.152:8080","863717050730394","on","off","STS_NORMAL",,"T128523","VehicleStatusActive"
"(9010) 921CO02","100","1.0.32","http://10.131.240.131:8080","863717050702740","on","off","STS_NORMAL",,"T012864","VehicleStatusActive"
"(9011) 922CO02","100","1.0.32","http://10.131.240.69:8080","863717050715130","on","off","STS_NORMAL",,"T128515","VehicleStatusActive"
"(9012) 923CO02","100","1.0.32","http://10.131.240.132:8080","863717050700389","on","off","STS_NORMAL",,"T128512","VehicleStatusActive"
"(9013) 924CO02","100","1.0.32","http://10.131.205.241:8080","863717050731699","on","off","STS_NORMAL",,"T128511","VehicleStatusActive"
"(9015) 927CO02","100","1.0.32","http://10.131.240.200:8080","863717050719397","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9016) 929CO02","100","1.0.32","http://10.131.240.151:8080","863717050718654","on","off","STS_NORMAL",,"T128321","VehicleStatusActive"
"(9017) 931CO02","100","1.0.32","http://10.131.240.182:8080","863717050728950","on","off","UNKNOWN",,"T128318","VehicleStatusActive"
"(9018) 935CO02","100","1.0.32","http://10.131.239.176:8080","863717050732275","on","off","STS_NORMAL",,"T128233","VehicleStatusActive"
"(9019) 936CO02","100","1.0.32","http://10.131.240.67:8080","863717050720718","on","off","STS_NORMAL",,"T128506","VehicleStatusActive"
"(9042) 966CO02","100","1.0.32","http://10.131.240.10:8080","863717050706444","on","off","STS_NORMAL",,"T050621","VehicleStatusActive"
"(9070) 480CS02","100","1.0.32","http://10.131.240.66:8080","863717050714539","on","off","STS_NORMAL",,"T128218","VehicleStatusActive"
"(9071) 870CS02","100","1.0.32","http://10.131.240.196:8080","863717050700728","on","off","STS_NORMAL",,"T128295","VehicleStatusInRepair"
"(9074) 419CS02","100","1.0.32","http://10.131.240.217:8080","863717050722730","on","off","STS_NORMAL",,"T128255","VehicleStatusActive"
"(9075) 423CS02","100","1.0.32","http://10.131.240.188:8080","863717050719470","on","off","STS_NORMAL",,"T128251","VehicleStatusActive"
"(9076) 427CS02","100","1.0.32","http://10.131.240.39:8080","863717050724736","on","off","STS_NORMAL",,"T128248","VehicleStatusActive"
"(9077) 439CS02","100","1.0.32","http://10.131.240.126:8080","863717050722755","on","off","STS_NORMAL",,"T128221","VehicleStatusActive"
"(9078) 879CS02","100","1.0.32","http://10.131.240.155:8080","863717050727671","on","off","STS_NORMAL",,"T128238","VehicleStatusActive"
"(9081) 438CS02","100","1.0.32","http://10.131.240.83:8080","863717050736995","on","off","STS_NORMAL",,"T128224","VehicleStatusInRepair"
"(9083) 398CS02","100","1.0.32","http://10.131.240.72:8080","863717050718811","on","off","STS_NORMAL",,"T128413","VehicleStatusActive"
"(9087) 368CS02","100","1.0.32","http://10.131.240.97:8080","863717050725519","on","off","STS_NORMAL",,"T128297","VehicleStatusActive"
"(9089) 874CS02","100","1.0.32","http://10.131.239.170:8080","863717050725832","on","off","STS_NORMAL",,"T128286","VehicleStatusActive"
"(9090) 370CS02","100","1.0.32","http://10.131.240.118:8080","863717050733158","on","off","STS_NORMAL",,"T128423","VehicleStatusActive"
"(9091) 371CS02","100","1.0.32","http://10.131.240.86:8080","863717050729917","on","off","UNKNOWN",,"T128420","VehicleStatusActive"
"(9092) 876CS02","100","1.0.32","http://10.131.240.158:8080","863717050733893","on","off","UNKNOWN",,"","VehicleStatusActive"
"(9093) 358CS02","100","1.0.32","http://10.131.240.68:8080","863717050704506","on","off","STS_NORMAL",,"T128296","VehicleStatusActive"
"(9094) 357CS02","100","1.0.32","http://10.131.240.157:8080","863717050726632","on","off","STS_NORMAL",,"T128227","VehicleStatusActive"
"(9095) 867CS02","100","1.0.32","http://10.131.240.156:8080","863717050733034","on","off","STS_NORMAL",,"T128244","VehicleStatusActive"
"(9120) 245ER02","100","1.0.32","http://10.131.240.153:8080","863717050735773","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9121) 248EN02","100","1.0.32","http://10.131.240.130:8080","863717050704761","on","off","STS_NORMAL",,"T155711","VehicleStatusActive"
"(9122) 249ER02","100","1.0.32","http://10.131.240.194:8080","863717050705925","on","off","STS_NORMAL",,"T155714","VehicleStatusInRepair"
"(9218) 018EU02","100","1.0.32","http://10.131.240.149:8080","863717050731152","on","off","STS_NORMAL",,"T154716","VehicleStatusActive"
"(9152) 401ER02","112","1.0.32","http://10.131.239.173:8080","863717050734651","on","off","STS_NORMAL",,"T154480","VehicleStatusActive"
"(9158) 398ER02","112","1.0.32","http://10.131.239.128:8080","863717050710495","on","off","UNKNOWN",,"T155765","VehicleStatusActive"
"(9160) 430ER02","112","1.0.32","http://10.131.239.162:8080","863717050730154","on","off","STS_NORMAL",,"T155652","VehicleStatusActive"
"(9162) 452ER02","112","1.0.32","http://10.131.239.96:8080","863717050737035","on","off","STS_NORMAL",,"T154449","VehicleStatusActive"
"(9163) 462ER02","112","1.0.32","http://10.131.240.37:8080","863717050738231","on","off","STS_NORMAL",,"T155579","VehicleStatusActive"
"(9164) 473ER02","112","1.0.32","http://10.131.239.130:8080","863717050730451","on","off","STS_NORMAL",,"T155491","VehicleStatusActive"
"(9165) 476ER02","112","1.0.32","http://10.131.240.27:8080","863717050738256","on","off","UNKNOWN",,"T155692","VehicleStatusActive"
"(9166) 480ER02","112","1.0.32","http://10.131.239.153:8080","863717050731970","on","off","STS_NORMAL",,"T155474","VehicleStatusInRepair"
"(9167) 485ER02","112","1.0.32","http://10.131.239.154:8080","863717050725873","on","off","STS_NORMAL",,"T154488","VehicleStatusActive"
"(9168) 487ER02","112","1.0.32","http://10.131.239.169:8080","863717050725618","on","off","STS_NORMAL",,"T155674","VehicleStatusActive"
"(9169) 489ER02","112","1.0.32","http://10.131.239.163:8080","863717050704001","on","off","STS_NORMAL",,"T155656","VehicleStatusActive"
"(9171) 493ER02","112","1.0.32","http://10.131.240.31:8080","863717050736094","on","off","STS_NORMAL",,"T155540","VehicleStatusActive"
"(9172) 496ER02","112","1.0.32","http://10.131.239.172:8080","863717050735617","on","off","STS_NORMAL",,"","VehicleStatusActive"
"(9173) 497ER02","112","1.0.32","http://10.131.239.155:8080","863717050736250","on","off","STS_NORMAL",,"T155650","VehicleStatusActive"
"(9174) 502ER02","112","1.0.32","http://10.131.239.135:8080","863717050727333","on","off","UNKNOWN",,"T154484","VehicleStatusActive"
"(9175) 503ER02","112","1.0.32","http://10.131.240.29:8080","863717050736730","on","off","STS_NORMAL",,"T155651","VehicleStatusActive"
